name,size,en_name,longitude,latitude
三门峡市,1,Sanmenxia,111.200482,34.773196
荆州市,1,Jingzhou,112.24143,30.336282
漯河市,1,Luohe,114.0166,33.58038
资阳市,1,Ziyang,104.627265,30.129236
舟山市,1,Zhoushan,122.207395,29.985578
新余市,1,Xinyu,114.916665,27.818553
中山市,1,Zhongshan,113.392517,22.517024
随州市,1,Suizhou,113.382324,31.690275
遂宁市,1,Suining,105.592602,30.53268
淮安市,1,Huai'an,119.113166,33.551495
鹰潭市,1,Yingtan,117.039532,28.272092
茂名市,1,Maoming,110.925533,21.662728
南京市,1,Nanjing,118.796624,32.059344
珠海市,1,Zhuhai,113.576892,22.271644
扬州市,1,Yangzhou,119.412834,32.394404
黄石市,1,Huangshi,115.038999,30.201082
宜春市,1,Yichun,114.416826,27.816245
阜阳市,1,Fuyang,115.814252,32.891032
景德镇市,1,Jingdezhen,117.184892,29.2744
湖州市,1,Huzhou,120.086881,30.894178
濮阳市,1,Puyang,115.029246,35.762731
亳州市,1,Bozhou,115.778588,33.846285
永州市,1,Yongzhou,111.613482,26.419861
济宁市,1,Jining,116.587116,35.415117
渭南市,1,Weinan,109.470962,34.520632
阳江市,1,Yangjiang,111.98343,21.856853
开封市,1,Kaifeng,114.314278,34.798083
淮南市,1,Huainan,117.018603,32.585384
马鞍山市,1,Ma'anshan,118.50685,31.668765
丹东市,1,Dandong,124.354419,40.000646
青岛市,1,Qingdao,120.382665,36.066938
淄博市,1,Zibo,118.054994,36.813787
清远市,1,Qingyuan,113.056098,23.682064
绍兴市,1,Shaoxing,120.582886,30.051549
威海市,1,Weihai,122.120519,37.513315
铜川市,1,Tongchuan,108.945116,34.897133
眉山市,1,Meishan,103.848417,30.077113
唐山市,1,Tangshan,118.180149,39.63068
衡水市,1,Hengshui,115.668987,37.739367
大同市,1,Datong,113.366749,40.09711
太原市,1,Taiyuan,112.549656,37.870451
兴安盟,1,Hinggan League,122.037796,46.082373
大连市,1,Dalian,121.614786,38.913962
芜湖市,1,Wuhu,118.433065,31.352614
东营市,1,Dongying,118.674633,37.433992
商丘市,1,Shangqiu,115.656358,34.415165
益阳市,1,Yiyang,112.355994,28.554853
湛江市,1,Zhanjiang,110.357538,21.270108
梧州市,1,Wuzhou,111.279022,23.476733
自贡市,1,Zigong,104.779307,29.33924
昆明市,1,Kunming,102.833669,24.88149
商洛市,1,Shangluo,109.918646,33.873358
汉中市,1,Hanzhong,107.02319,33.066373
安康市,1,Ankang,109.029017,32.685435
