name,size,en_name,longitude,latitude
北京市,40,Beijing,116.407387,39.904179
保定市,24,Baoding,115.464523,38.874476
邢台市,10,Xingtai,114.49742,37.060227
晋城市,9,Jincheng,112.852022,35.491315
阳泉市,9,Yangquan,113.580426,37.857094
连云港市,7,Lianyungang,119.221487,34.596639
汕尾市,6,Shanwei,115.375557,22.787204
石家庄市,5,Shijiazhuang,114.514976,38.042007
长春市,5,Changchun,125.323643,43.816996
邯郸市,4,Handan,114.53915,36.625849
松原市,4,Songyuan,124.825321,45.14191
延边朝鲜族自治州,4,Yanbian Chaoxianzu Autonomous Prefecture,129.470605,42.909426
泉州市,4,Quanzhou,118.675724,24.874452
安阳市,4,Anyang,114.39248,36.098779
鹤壁市,4,Hebi,114.297305,35.748329
承德市,3,Chengde,117.962749,40.952942
廊坊市,3,Langfang,116.683546,39.538304
通化市,3,Tonghua,125.939721,41.728312
莆田市,3,Putian,119.007662,25.454202
丽江市,3,Lijiang,100.225936,26.855165
台州市,3,Taizhou,121.42079,28.655716
包头市,2,Baotou,109.95315,40.621327
沈阳市,2,Shenyang,123.464675,41.677576
唐山市,2,Tangshan,118.180149,39.63068
乌兰察布市,2,Ulan Qab,113.132227,40.994526
锡林郭勒盟,2,Xilingol League,116.047387,43.933212
福州市,2,Fuzhou,119.296411,26.074286
吉林市,2,Jilin,126.549719,43.838132
桂林市,2,Guilin,110.179752,25.235615
黑河市,2,Heihe,127.528226,50.244887
宝鸡市,2,Baoji,107.237682,34.362862
延安市,2,Yan'an,109.49468,36.650109
济南市,2,Jinan,117.120128,36.652069
天津市,2,Tianjin,117.201509,39.085318
上饶市,2,Shangrao,117.943064,28.45513
齐齐哈尔市,2,Qiqihar,123.918193,47.354892
惠州市,2,Huizhou,114.415587,23.112368
新乡市,2,Xinxiang,113.92679,35.303589
洛阳市,2,Luoyang,112.453895,34.619702
南昌市,2,Nanchang,115.857972,28.682976
德宏傣族景颇族自治州,2,Dehong Dai and Jingpo Autonomous Prefecture,98.585621,24.433146
昆明市,2,Kunming,102.833669,24.88149
张家界市,2,Zhangjiajie,110.478887,29.117343
永州市,2,Yongzhou,111.613482,26.419861
钦州市,2,Qinzhou,108.654355,21.980894
九江市,1,Jiujiang,115.95356,29.66116
四平市,1,Siping,124.350599,43.166764
呼伦贝尔市,1,Hulun Buir,119.77845,49.166536
沧州市,1,Cangzhou,116.838715,38.304676
张家口市,1,Zhangjiakou,114.885895,40.768931
呼和浩特市,1,Hohhot,111.748814,40.842127
遵义市,1,Zunyi,107.031922,27.721931
通辽市,1,Tongliao,122.243309,43.653566
商洛市,1,Shangluo,109.918646,33.873358
咸宁市,1,Xian’ning,114.322601,29.84135
成都市,1,Chengdu,104.066301,30.572961
吴忠市,1,Wuzhong,106.198613,37.997755
娄底市,1,Loudi,111.994468,27.699838
白城市,1,Baicheng,122.838102,45.620131
焦作市,1,Jiaozuo,113.241902,35.215726
商丘市,1,Shangqiu,115.656358,34.415165
鹤岗市,1,Hegang,130.297687,47.350659
宿迁市,1,Suqian,118.275228,33.963186
西安市,1,Xi'an,108.939645,34.343207
德州市,1,Dezhou,116.359244,37.436492
双鸭山市,1,Shuangyashan,131.141563,46.676157
秦皇岛市,1,Qinhuangdao,119.52022,39.888243
信阳市,1,Xinyang,114.091058,32.148624
晋中市,1,Jinzhong,112.752633,37.688006
嘉兴市,1,Jiaxing,120.755623,30.746814
赣州市,1,Ganzhou,114.933494,25.831139
三门峡市,1,Sanmenxia,111.200482,34.773196
南阳市,1,Nanyang,112.584753,33.016102
三明市,1,Sanming,117.638919,26.263455
宜昌市,1,Yichang,111.286962,30.69217
遂宁市,1,Suining,105.592602,30.53268
绵阳市,1,Mianyang,104.679127,31.467673
曲靖市,1,Qujing,103.796288,25.490866
淮安市,1,Huai'an,119.113166,33.551495
鹰潭市,1,Yingtan,117.039532,28.272092
徐州市,1,Xuzhou,117.283752,34.204224
阜阳市,1,Fuyang,115.814252,32.891032
濮阳市,1,Puyang,115.029246,35.762731
亳州市,1,Bozhou,115.778588,33.846285
平凉市,1,Pingliang,106.664913,35.542417
西双版纳傣族自治州,1,Dai Autonomous Prefecture of Xishuangbanna,100.797002,22.009037
开封市,1,Kaifeng,114.314278,34.798083
银川市,1,Yinchuan,106.230977,38.487783
龙岩市,1,Longyan,117.017362,25.075884
丹东市,1,Dandong,124.354419,40.000646
郑州市,1,Zhengzhou,113.625351,34.746303
许昌市,1,Xuchang,113.852004,34.03732
衡水市,1,Hengshui,115.668987,37.739367
大理白族自治州,1,Dali,100.267608,25.606548
绍兴市,1,Shaoxing,120.582886,30.051549
红河哈尼族彝族自治州,1,Honghe Hani and Yi Autonomous Prefecture,103.374873,23.363129
玉溪市,1,Yuxi,102.526673,24.346786
