source,target,weight,QWeight
三明市,南昌市,1,1
三明市,莆田市,1,1
宜昌市,十堰市,1,1
新余市,泉州市,1,1
中山市,北京市,1,1
中山市,惠州市,2,2
中山市,江门市,1,1
中山市,酒泉市,1,1
中山市,河源市,1,1
中山市,佛山市,1,1
中山市,深圳市,1,1
中山市,三亚市,1,1
中山市,呼和浩特市,1,1
上海市,北京市,2,2
上海市,福州市,2,2
上海市,泉州市,4,4
上海市,厦门市,2,2
上海市,揭阳市,1,1
上海市,南昌市,1,1
上海市,台州市,1,1
上海市,安庆市,3,3
上海市,邢台市,1,1
上海市,石家庄市,1,1
随州市,福州市,1,1
随州市,泉州市,1,1
随州市,武汉市,1,1
随州市,宜昌市,1,1
遂宁市,泉州市,1,1
广州市,三沙市,1,1
淮安市,淮北市,2,2
淮安市,宿迁市,1,1
淮安市,厦门市,1,1
淮安市,盐城市,1,1
沈阳市,天津市,1,1
潮州市,惠州市,1,1
潮州市,梅州市,1,1
潮州市,杭州市,1,1
潮州市,阜新市,1,1
潮州市,泉州市,7,7
潮州市,临汾市,1,1
潮州市,韶关市,1,1
宣城市,泉州市,2,2
宣城市,黄山市,1,1
鹰潭市,福州市,1,1
鹰潭市,南昌市,1,1
鹰潭市,厦门市,2,2
鹰潭市,漳州市,1,1
泰安市,泉州市,1,1
泰安市,嘉兴市,1,1
茂名市,晋城市,1,1
茂名市,阳泉市,1,1
茂名市,包头市,1,1
南京市,北京市,1,1
南京市,上海市,1,1
南京市,厦门市,1,1
南京市,泉州市,2,2
南京市,晋城市,1,1
南京市,阳泉市,1,1
佛山市,深圳市,1,1
佛山市,广州市,1,1
佛山市,泉州市,2,2
佛山市,漳州市,1,1
佛山市,厦门市,1,1
珠海市,齐齐哈尔市,1,1
珠海市,深圳市,1,1
珠海市,福州市,1,1
珠海市,泉州市,1,1
珠海市,揭阳市,1,1
珠海市,汕头市,1,1
扬州市,福州市,1,1
扬州市,泰州市,1,1
扬州市,呼和浩特市,1,1
扬州市,泉州市,2,2
扬州市,安庆市,1,1
扬州市,杭州市,1,1
扬州市,上海市,1,1
扬州市,北京市,1,1
淮北市,重庆市,1,1
淮北市,泉州市,1,1
黄石市,泉州市,1,1
铜陵市,淮北市,1,1
铜陵市,泉州市,1,1
宜春市,抚州市,2,2
宜春市,赣州市,1,1
宜春市,上饶市,1,1
宜春市,泉州市,1,1
宜春市,九江市,1,1
汕尾市,晋城市,2,2
汕尾市,阳泉市,2,2
汕尾市,汕头市,1,1
汕尾市,惠州市,1,1
汕尾市,广州市,1,1
徐州市,福州市,2,2
徐州市,泉州市,3,3
徐州市,厦门市,2,2
徐州市,九江市,1,1
徐州市,安庆市,1,1
阜阳市,淮北市,2,2
阜阳市,泉州市,1,1
阜阳市,厦门市,1,1
阜阳市,黄山市,1,1
阜阳市,安庆市,2,2
阜阳市,池州市,1,1
阜阳市,晋城市,1,1
揭阳市,天津市,1,1
揭阳市,盐城市,1,1
揭阳市,深圳市,1,1
揭阳市,泉州市,4,4
揭阳市,汕头市,1,1
揭阳市,金华市,1,1
揭阳市,上海市,1,1
金华市,厦门市,1,1
金华市,丽水市,1,1
金华市,温州市,1,1
金华市,杭州市,1,1
金华市,安庆市,1,1
金华市,连云港市,1,1
惠州市,天津市,1,1
惠州市,盐城市,1,1
惠州市,广州市,1,1
惠州市,梅州市,1,1
惠州市,汕头市,1,1
惠州市,潮州市,1,1
惠州市,泉州市,2,2
惠州市,莆田市,1,1
景德镇市,福州市,3,3
景德镇市,深圳市,1,1
景德镇市,广州市,1,1
景德镇市,南昌市,3,3
景德镇市,厦门市,1,1
景德镇市,抚州市,1,1
景德镇市,赣州市,1,1
景德镇市,上饶市,1,1
景德镇市,泉州市,1,1
景德镇市,三明市,1,1
景德镇市,安庆市,1,1
湖州市,台州市,2,2
湖州市,温州市,1,1
湖州市,莆田市,1,1
湖州市,厦门市,2,2
湖州市,安庆市,1,1
湖州市,杭州市,1,1
湖州市,晋城市,1,1
湖州市,阳泉市,1,1
湖州市,汕尾市,1,1
湖州市,泉州市,1,1
湖州市,丽水市,1,1
濮阳市,郑州市,1,1
濮阳市,晋城市,4,4
濮阳市,阳泉市,4,4
濮阳市,汕尾市,3,3
亳州市,泉州市,1,1
亳州市,合肥市,1,1
亳州市,吉林市,1,1
亳州市,包头市,1,1
亳州市,宣城市,1,1
亳州市,黄山市,1,1
永州市,株洲市,1,1
永州市,长沙市,1,1
菏泽市,厦门市,1,1
济宁市,抚州市,1,1
济宁市,九江市,1,1
渭南市,泉州市,1,1
渭南市,晋城市,1,1
渭南市,阳泉市,1,1
汕头市,河源市,1,1
汕头市,梅州市,2,2
汕头市,广州市,3,3
汕头市,鹤岗市,1,1
汕头市,厦门市,4,4
汕头市,台州市,1,1
汕头市,济南市,2,2
汕头市,泉州市,3,3
汕头市,南宁市,1,1
阳江市,福州市,1,1
阳江市,深圳市,1,1
阳江市,长沙市,1,1
齐齐哈尔市,福州市,1,1
齐齐哈尔市,汕头市,1,1
齐齐哈尔市,潮州市,1,1
齐齐哈尔市,泉州市,1,1
十堰市,福州市,1,1
十堰市,泉州市,2,2
十堰市,晋城市,1,1
开封市,泉州市,2,2
开封市,漳州市,1,1
龙岩市,南平市,1,1
龙岩市,宁德市,1,1
龙岩市,福州市,2,2
龙岩市,厦门市,6,6
龙岩市,泉州市,13,13
龙岩市,漳州市,8,8
龙岩市,惠州市,1,1
龙岩市,张家界市,1,1
龙岩市,莆田市,2,2
龙岩市,鹤岗市,1,1
龙岩市,晋城市,1,1
龙岩市,阳泉市,1,1
龙岩市,三明市,1,1
淮南市,福州市,1,1
淮南市,泉州市,2,2
淮南市,安庆市,1,1
马鞍山市,黄山市,1,1
马鞍山市,宣城市,1,1
马鞍山市,安庆市,1,1
马鞍山市,合肥市,1,1
马鞍山市,滁州市,1,1
丹东市,沈阳市,1,1
丹东市,鞍山市,1,1
丹东市,本溪市,1,1
丹东市,邢台市,1,1
天津市,晋城市,2,2
天津市,泉州市,1,1
天津市,北京市,1,1
天津市,阳泉市,1,1
台州市,福州市,3,3
台州市,厦门市,2,2
台州市,龙岩市,1,1
台州市,泉州市,2,2
台州市,贵阳市,1,1
青岛市,包头市,1,1
郑州市,莆田市,1,1
郑州市,厦门市,1,1
郑州市,平顶山市,1,1
郑州市,鹤壁市,2,2
郑州市,泉州市,1,1
郑州市,三明市,1,1
郑州市,北京市,1,1
郑州市,天津市,1,1
淄博市,泉州市,1,1
清远市,泉州市,1,1
清远市,汕头市,1,1
邯郸市,泉州市,2,2
邯郸市,石家庄市,4,4
邯郸市,巴中市,1,1
邯郸市,天津市,1,1
邯郸市,承德市,1,1
绍兴市,温州市,2,2
绍兴市,泉州市,1,1
绍兴市,丽水市,1,1
绍兴市,杭州市,1,1
绍兴市,抚州市,1,1
绍兴市,九江市,1,1
绍兴市,台州市,1,1
绍兴市,宁波市,1,1
威海市,泉州市,1,1
铜川市,泉州市,1,1
盐城市,连云港市,1,1
盐城市,徐州市,1,1
盐城市,苏州市,1,1
盐城市,南通市,1,1
盐城市,吉林市,2,2
盐城市,包头市,3,3
盐城市,福州市,1,1
盐城市,泉州市,2,2
盐城市,安庆市,1,1
株洲市,常德市,1,1
株洲市,长沙市,2,2
株洲市,广州市,1,1
南通市,无锡市,1,1
南通市,苏州市,1,1
南通市,齐齐哈尔市,1,1
南通市,福州市,1,1
南通市,泉州市,1,1
南通市,成都市,1,1
眉山市,重庆市,1,1
无锡市,苏州市,1,1
无锡市,南通市,1,1
无锡市,福州市,2,2
无锡市,泉州市,2,2
无锡市,安庆市,2,2
无锡市,三明市,1,1
无锡市,淮北市,1,1
阳泉市,吉林市,1,1
阳泉市,包头市,1,1
安庆市,上海市,1,1
安庆市,黄山市,1,1
安庆市,宣城市,1,1
安庆市,淮北市,1,1
安庆市,六安市,1,1
连云港市,苏州市,1,1
连云港市,南通市,1,1
连云港市,福州市,1,1
连云港市,泉州市,3,3
东莞市,福州市,1,1
东莞市,晋城市,1,1
东莞市,阳泉市,1,1
鹤壁市,福州市,1,1
鹤壁市,泉州市,1,1
鹤壁市,铜陵市,1,1
鹤壁市,阳泉市,1,1
