source,target,weight,QWeight
深圳市,汕头市,1,1
深圳市,泉州市,1,1
深圳市,漳州市,1,1
深圳市,厦门市,1,1
蚌埠市,滁州市,1,1
蚌埠市,泉州市,1,1
蚌埠市,安庆市,1,1
承德市,包头市,1,1
承德市,张家口市,1,1
承德市,石家庄市,1,1
廊坊市,泉州市,2,2
廊坊市,邯郸市,2,2
廊坊市,石家庄市,2,2
廊坊市,北京市,1,1
廊坊市,天津市,1,1
廊坊市,张家口市,1,1
廊坊市,承德市,1,1
廊坊市,晋城市,1,1
廊坊市,阳泉市,1,1
烟台市,福州市,1,1
烟台市,泉州市,1,1
烟台市,厦门市,1,1
宁波市,杭州市,2,2
宁波市,福州市,2,2
宁波市,泉州市,2,2
宁波市,厦门市,1,1
宁波市,临沂市,1,1
宁波市,桂林市,1,1
温州市,北京市,2,2
温州市,泉州市,2,2
云浮市,汕头市,1,1
云浮市,梅州市,1,1
云浮市,泉州市,1,1
云浮市,厦门市,1,1
九江市,福州市,2,2
九江市,深圳市,1,1
九江市,广州市,1,1
九江市,南昌市,1,1
九江市,厦门市,3,3
九江市,抚州市,2,2
九江市,赣州市,1,1
九江市,上饶市,1,1
九江市,泉州市,1,1
九江市,常德市,1,1
九江市,北京市,1,1
九江市,阳泉市,2,2
九江市,晋城市,1,1
六安市,安庆市,1,1
六安市,池州市,1,1
北京市,抚州市,1,1
北京市,九江市,1,1
丽水市,金华市,1,1
丽水市,温州市,1,1
丽水市,泉州市,3,3
丽水市,福州市,1,1
丽水市,怀化市,1,1
镇江市,福州市,1,1
镇江市,泉州市,2,2
镇江市,厦门市,2,2
镇江市,九江市,1,1
镇江市,北京市,1,1
镇江市,淮北市,1,1
邵阳市,张家界市,1,1
邵阳市,湘潭市,1,1
邵阳市,长沙市,1,1
邵阳市,泉州市,1,1
泰州市,无锡市,1,1
泰州市,南通市,1,1
泰州市,苏州市,1,1
泰州市,福州市,1,1
泰州市,泉州市,3,3
泰州市,安庆市,1,1
沧州市,石家庄市,2,2
沧州市,邯郸市,1,1
沧州市,承德市,1,1
沧州市,晋城市,1,1
沧州市,阳泉市,1,1
沧州市,汕尾市,1,1
张家口市,石家庄市,1,1
周口市,晋城市,1,1
周口市,阳泉市,1,1
池州市,安庆市,1,1
池州市,六安市,1,1
韶关市,河源市,1,1
韶关市,梅州市,1,1
韶关市,东莞市,1,1
韶关市,泉州市,1,1
潍坊市,泉州市,2,2
潍坊市,厦门市,1,1
潍坊市,晋城市,1,1
潍坊市,阳泉市,1,1
潍坊市,三明市,1,1
潍坊市,九江市,1,1
咸宁市,泉州市,2,2
滁州市,泉州市,1,1
滁州市,淮北市,1,1
滁州市,黄山市,1,1
柳州市,泉州市,1,1
黄山市,淮北市,1,1
黄山市,泉州市,2,2
黄山市,厦门市,1,1
上饶市,福州市,1,1
上饶市,南昌市,1,1
上饶市,厦门市,1,1
上饶市,泉州市,1,1
上饶市,上海市,1,1
泉州市,福州市,4,4
泉州市,厦门市,3,3
泉州市,宁德市,1,1
泉州市,台州市,1,1
泉州市,惠州市,1,1
泉州市,莆田市,2,2
泉州市,漳州市,1,1
泉州市,抚州市,3,3
泉州市,柳州市,1,1
洛阳市,重庆市,1,1
洛阳市,岳阳市,1,1
石家庄市,保定市,1,1
宜宾市,泉州市,1,1
衢州市,温州市,4,4
衢州市,台州市,2,2
衢州市,宁波市,1,1
衢州市,泉州市,3,3
衢州市,福州市,1,1
衢州市,厦门市,1,1
衢州市,丽水市,1,1
衢州市,九江市,1,1
防城港市,柳州市,1,1
防城港市,桂林市,1,1
防城港市,南宁市,1,1
朔州市,运城市,1,1
朔州市,临汾市,1,1
朔州市,晋中市,1,1
常州市,邢台市,1,1
常州市,福州市,1,1
常州市,泉州市,2,2
常州市,安庆市,1,1
江门市,汕头市,1,1
江门市,梅州市,1,1
江门市,泉州市,1,1
梅州市,漳州市,2,2
梅州市,广州市,1,1
梅州市,厦门市,1,1
梅州市,福州市,1,1
梅州市,泉州市,2,2
萍乡市,抚州市,1,1
萍乡市,赣州市,1,1
萍乡市,上饶市,1,1
武汉市,福州市,2,2
武汉市,泉州市,4,4
武汉市,惠州市,1,1
武汉市,厦门市,1,1
武汉市,晋城市,1,1
武汉市,阳泉市,1,1
武汉市,安庆市,1,1
武汉市,杭州市,1,1
武汉市,北京市,1,1
武汉市,天津市,1,1
合肥市,淮北市,2,2
合肥市,泉州市,1,1
合肥市,莆田市,1,1
合肥市,六安市,1,1
合肥市,安庆市,1,1
肇庆市,厦门市,1,1
肇庆市,莆田市,1,1
襄阳市,泉州市,1,1
吉安市,重庆市,1,1
吉安市,黑河市,1,1
临汾市,晋中市,1,1
临汾市,长治市,1,1
安阳市,福州市,1,1
安阳市,南阳市,1,1
安阳市,周口市,1,1
安阳市,郑州市,1,1
安阳市,泉州市,1,1
平顶山市,泉州市,1,1
平顶山市,漳州市,1,1
平顶山市,晋城市,1,1
平顶山市,阳泉市,1,1
平顶山市,汕尾市,1,1
平顶山市,郑州市,1,1
平顶山市,安阳市,2,2
苏州市,南通市,1,1
苏州市,安庆市,1,1
苏州市,福州市,1,1
苏州市,泉州市,1,1
焦作市,泉州市,1,1
焦作市,晋城市,1,1
焦作市,阳泉市,1,1
滨州市,菏泽市,1,1
滨州市,福州市,1,1
滨州市,吉林市,1,1
滨州市,包头市,1,1
海口市,莆田市,1,1
松原市,晋城市,1,1
松原市,阳泉市,1,1
松原市,汕尾市,1,1
鹤岗市,泉州市,1,1
宿迁市,福州市,1,1
宿迁市,厦门市,1,1
宿迁市,泉州市,1,1
德州市,晋城市,1,1
德州市,菏泽市,1,1
德州市,聊城市,2,2
德州市,泉州市,1,1
德州市,成都市,1,1
德州市,泰安市,1,1
宿州市,淮北市,2,2
宿州市,莆田市,1,1
宿州市,安庆市,1,1
宿州市,池州市,1,1
杭州市,福州市,2,2
杭州市,泉州市,2,2
杭州市,深圳市,1,1
杭州市,南昌市,1,1
秦皇岛市,邢台市,1,1
秦皇岛市,石家庄市,1,1
宝鸡市,泉州市,1,1
信阳市,泉州市,1,1
信阳市,漳州市,1,1
济南市,重庆市,1,1
济南市,深圳市,1,1
抚州市,赣州市,1,1
抚州市,上饶市,1,1
抚州市,福州市,1,1
抚州市,南昌市,1,1
抚州市,厦门市,1,1
抚州市,泉州市,1,1
嘉兴市,杭州市,2,2
嘉兴市,泉州市,3,3
嘉兴市,汕头市,1,1
嘉兴市,厦门市,1,1
嘉兴市,台州市,1,1
赣州市,重庆市,1,1
赣州市,内江市,1,1
赣州市,抚州市,2,2
赣州市,上饶市,1,1
赣州市,九江市,1,1
三门峡市,泉州市,1,1
三门峡市,漳州市,1,1
荆州市,福州市,1,1
荆州市,泉州市,1,1
荆州市,武汉市,1,1
荆州市,惠州市,1,1
漯河市,泉州市,1,1
漯河市,莆田市,1,1
漯河市,厦门市,1,1
漯河市,邢台市,1,1
资阳市,泉州市,1,1
舟山市,泉州市,3,3
舟山市,上海市,1,1
舟山市,莆田市,1,1
舟山市,厦门市,2,2
舟山市,重庆市,1,1
舟山市,白山市,1,1
舟山市,台州市,1,1
南阳市,泉州市,1,1
三明市,南平市,1,1
三明市,宁德市,1,1
三明市,福州市,5,5
三明市,泉州市,13,13
三明市,漳州市,5,5
三明市,厦门市,4,4
三明市,潮州市,1,1
三明市,惠州市,1,1
三明市,鹤岗市,1,1
